name,crate,blocks,edges,stmt_count,treewidth,is_unsafe
"f32::<impl f32>::is_subnormal",core,5,5,3,2,0
"f32::<impl f32>::is_normal",core,5,5,3,2,0
"f32::<impl f32>::classify",core,11,15,8,2,0
"f32::<impl f32>::is_sign_positive",core,2,1,1,1,0
"f32::<impl f32>::is_sign_negative",core,2,1,2,1,0
"f32::<impl f32>::next_up",core,15,18,12,2,0
"f32::<impl f32>::next_down",core,15,18,12,2,0
"f32::<impl f32>::recip",core,1,0,1,0,0
"f32::<impl f32>::to_degrees",core,1,0,1,0,0
"f32::<impl f32>::to_radians",core,1,0,1,0,0
"f32::<impl f32>::max",core,2,1,0,1,0
"f32::<impl f32>::min",core,2,1,0,1,0
"f32::<impl f32>::maximum",core,2,1,0,1,0
"f32::<impl f32>::minimum",core,2,1,0,1,0
"f32::<impl f32>::midpoint",core,1,0,5,0,0
"f32::<impl f32>::to_int_unchecked",core,2,1,0,1,1
"f32::<impl f32>::to_bits",core,1,0,1,0,0
"f32::<impl f32>::from_bits",core,1,0,1,0,0
"f32::<impl f32>::to_be_bytes",core,3,2,0,1,0
"f32::<impl f32>::to_le_bytes",core,3,2,0,1,0
"f32::<impl f32>::to_ne_bytes",core,3,2,0,1,0
"f32::<impl f32>::from_be_bytes",core,3,2,0,1,0
"f32::<impl f32>::from_le_bytes",core,3,2,0,1,0
"f32::<impl f32>::from_ne_bytes",core,3,2,0,1,0
"f32::<impl f32>::total_cmp",core,8,7,26,1,0
"f32::<impl f32>::clamp",core,7,8,8,2,0
"f32::<impl f32>::clamp::do_panic",core,1,0,1,0,0
"f32::<impl f32>::clamp::do_panic::runtime",core,4,3,8,1,0
"f32::<impl f32>::clamp::do_panic::compiletime",core,2,1,0,1,0
"f32::<impl f32>::clamp_magnitude",core,6,5,2,1,0
"f32::<impl f32>::abs",core,2,1,0,1,0
"f32::<impl f32>::signum",core,5,5,1,2,0
"f32::<impl f32>::copysign",core,2,1,0,1,0
"f32::<impl f32>::algebraic_add",core,2,1,0,1,0
"f32::<impl f32>::algebraic_sub",core,2,1,0,1,0
"f32::<impl f32>::algebraic_mul",core,2,1,0,1,0
"f32::<impl f32>::algebraic_div",core,2,1,0,1,0
"f32::<impl f32>::algebraic_rem",core,2,1,0,1,0
"f32::math::floor",core,2,1,0,1,0
"f32::math::ceil",core,2,1,0,1,0
"f32::math::round",core,2,1,0,1,0
"f32::math::round_ties_even",core,2,1,0,1,0
"f32::math::trunc",core,2,1,0,1,0
"f32::math::fract",core,2,1,1,1,0
"f32::math::mul_add",core,2,1,0,1,0
"f32::math::div_euclid",core,7,8,7,2,0
"f32::math::rem_euclid",core,5,5,4,2,0
"f32::math::powi",core,2,1,0,1,0
"f32::math::sqrt",core,2,1,0,1,0
"f32::math::abs_sub",core,2,1,0,1,0
"f32::math::cbrt",core,2,1,0,1,0
"f64::<impl f64>::is_nan",core,1,0,1,0,0
"f64::<impl f64>::is_infinite",core,1,0,3,0,0
"f64::<impl f64>::is_finite",core,2,1,1,1,0
"f64::<impl f64>::is_subnormal",core,5,5,3,2,0
"f64::<impl f64>::is_normal",core,5,5,3,2,0
"f64::<impl f64>::classify",core,11,15,8,2,0
"f64::<impl f64>::is_sign_positive",core,2,1,1,1,0
"f64::<impl f64>::is_positive",core,2,1,0,1,0
"f64::<impl f64>::is_sign_negative",core,2,1,2,1,0
"f64::<impl f64>::is_negative",core,2,1,0,1,0
"f64::<impl f64>::next_up",core,15,18,12,2,0
"f64::<impl f64>::next_down",core,15,18,12,2,0
"f64::<impl f64>::recip",core,1,0,1,0,0
"f64::<impl f64>::to_degrees",core,1,0,1,0,0
"f64::<impl f64>::to_radians",core,1,0,1,0,0
"f64::<impl f64>::max",core,2,1,0,1,0
"f64::<impl f64>::min",core,2,1,0,1,0
"f64::<impl f64>::maximum",core,2,1,0,1,0
"f64::<impl f64>::minimum",core,2,1,0,1,0
"f64::<impl f64>::midpoint",core,7,8,10,2,0
"f64::<impl f64>::to_int_unchecked",core,2,1,0,1,1
"f64::<impl f64>::to_bits",core,1,0,1,0,0
"f64::<impl f64>::from_bits",core,1,0,1,0,0
"f64::<impl f64>::to_be_bytes",core,3,2,0,1,0
"f64::<impl f64>::to_le_bytes",core,3,2,0,1,0
"f64::<impl f64>::to_ne_bytes",core,3,2,0,1,0
"f64::<impl f64>::from_be_bytes",core,3,2,0,1,0
"f64::<impl f64>::from_le_bytes",core,3,2,0,1,0
"f64::<impl f64>::from_ne_bytes",core,3,2,0,1,0
"f64::<impl f64>::total_cmp",core,8,7,26,1,0
"f64::<impl f64>::clamp",core,7,8,8,2,0
"f64::<impl f64>::clamp::do_panic",core,1,0,1,0,0
"f64::<impl f64>::clamp::do_panic::runtime",core,4,3,8,1,0
"f64::<impl f64>::clamp::do_panic::compiletime",core,2,1,0,1,0
"f64::<impl f64>::clamp_magnitude",core,6,5,2,1,0
"f64::<impl f64>::abs",core,2,1,0,1,0
"f64::<impl f64>::signum",core,5,5,1,2,0
"f64::<impl f64>::copysign",core,2,1,0,1,0
"f64::<impl f64>::algebraic_add",core,2,1,0,1,0
"f64::<impl f64>::algebraic_sub",core,2,1,0,1,0
"f64::<impl f64>::algebraic_mul",core,2,1,0,1,0
"f64::<impl f64>::algebraic_div",core,2,1,0,1,0
"f64::<impl f64>::algebraic_rem",core,2,1,0,1,0
"f64::math::floor",core,2,1,0,1,0
"f64::math::ceil",core,2,1,0,1,0
"f64::math::round",core,2,1,0,1,0
"f64::math::round_ties_even",core,2,1,0,1,0
"f64::math::trunc",core,2,1,0,1,0
"f64::math::fract",core,2,1,1,1,0
"f64::math::mul_add",core,2,1,0,1,0
"f64::math::div_euclid",core,7,8,7,2,0
"f64::math::rem_euclid",core,5,5,4,2,0
"f64::math::powi",core,2,1,0,1,0
"f64::math::sqrt",core,2,1,0,1,0
"f64::math::abs_sub",core,2,1,0,1,0
"f64::math::cbrt",core,2,1,0,1,0
"<u8 as num::imp::bignum::FullOps>::full_mul_add",core,2,1,3,1,0
"<u8 as num::imp::bignum::FullOps>::full_div_rem",core,6,5,14,1,0
"<u16 as num::imp::bignum::FullOps>::full_mul_add",core,2,1,3,1,0
"<u16 as num::imp::bignum::FullOps>::full_div_rem",core,6,5,14,1,0
"<u32 as num::imp::bignum::FullOps>::full_mul_add",core,2,1,3,1,0
"<u32 as num::imp::bignum::FullOps>::full_div_rem",core,6,5,14,1,0
"<u64 as num::imp::bignum::FullOps>::full_mul_add",core,2,1,3,1,0
"<u64 as num::imp::bignum::FullOps>::full_div_rem",core,6,5,14,1,0
"num::imp::bignum::Big32x40::from_small",core,2,1,6,1,0
"num::imp::bignum::Big32x40::from_u64",core,7,7,15,2,0
